# Assembly Statistics Report
# Assembly name:  Xenopus_laevis_v2
# Organism name:  Xenopus laevis (African clawed frog)
# Infraspecific name:  strain=J
# Sex:  female
# Taxid:          8355
# BioSample:      SAMN04518361
# BioProject:     PRJNA313213
# Submitter:      International Xenopus Sequencing Consortium
# Date:           2016-08-09
# Synonyms:       xenLae2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LYTH01
# Assembly method: Meraculous v. May-2013
# Genome coverage: 30x
# Sequencing technology: Illumina HiSeq 2000
# Excluded from RefSeq: superseded by newer assembly for species
# GenBank assembly accession: GCA_001663975.1
# RefSeq assembly accession: GCF_001663975.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001663985.1	GCF_001663985.1	Primary Assembly
## 	GCF_000028935.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	8S	Chromosome	assembled-molecule	spanned-gaps	8491
Primary Assembly	8S	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	8S	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	8S	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8S	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8S	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	8S	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	8S	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	8S	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	9_10L	Chromosome	all	total-length	117834370
Primary Assembly	9_10L	Chromosome	all	ungapped-length	106615028
Primary Assembly	9_10L	Chromosome	all	scaffold-count	1
Primary Assembly	9_10L	Chromosome	all	scaffold-N50	117834370
Primary Assembly	9_10L	Chromosome	all	spanned-gaps	9043
Primary Assembly	9_10L	Chromosome	all	unspanned-gaps	0
Primary Assembly	9_10L	Chromosome	all	gc-perc	39.5
Primary Assembly	9_10L	Chromosome	assembled-molecule	total-length	117834370
Primary Assembly	9_10L	Chromosome	assembled-molecule	ungapped-length	106615028
Primary Assembly	9_10L	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	9_10L	Chromosome	assembled-molecule	scaffold-N50	117834370
Primary Assembly	9_10L	Chromosome	assembled-molecule	spanned-gaps	9043
Primary Assembly	9_10L	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	9_10L	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	9_10L	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	9_10L	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	9_10L	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	9_10L	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	9_10L	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	9_10L	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	9_10S	Chromosome	all	total-length	104563341
Primary Assembly	9_10S	Chromosome	all	ungapped-length	94275475
Primary Assembly	9_10S	Chromosome	all	scaffold-count	1
Primary Assembly	9_10S	Chromosome	all	scaffold-N50	104563341
Primary Assembly	9_10S	Chromosome	all	spanned-gaps	7921
Primary Assembly	9_10S	Chromosome	all	unspanned-gaps	0
Primary Assembly	9_10S	Chromosome	all	gc-perc	40
Primary Assembly	9_10S	Chromosome	assembled-molecule	total-length	104563341
Primary Assembly	9_10S	Chromosome	assembled-molecule	ungapped-length	94275475
Primary Assembly	9_10S	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	9_10S	Chromosome	assembled-molecule	scaffold-N50	104563341
Primary Assembly	9_10S	Chromosome	assembled-molecule	spanned-gaps	7921
Primary Assembly	9_10S	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	9_10S	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	9_10S	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	9_10S	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	9_10S	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	9_10S	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	9_10S	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	9_10S	Chromosome	unlocalized-scaffold	unspanned-gaps	0
