# Assembly Statistics Report
# Assembly name:  UTM_Trep_v1.0
# Organism name:  Trifolium repens (white clover)
# Isolate:  ACLI19
# Taxid:          3899
# BioSample:      SAMN34034005
# BioProject:     PRJNA951196
# Submitter:      University of Toronto Mississauga
# Date:           2023-07-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: Hifiasm v. 0.16.1-r375
# Expected final version: yes
# Genome coverage: 30.0x
# Sequencing technology: PacBio HiFi; Dovetail Omni-C
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030408175.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030408185.1		Primary Assembly
## GCA_030408195.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	08_0cc	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	08_0cc	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	08_Pall	Chromosome	all	total-length	58113888
Primary Assembly	08_Pall	Chromosome	all	ungapped-length	58113588
Primary Assembly	08_Pall	Chromosome	all	scaffold-count	1
Primary Assembly	08_Pall	Chromosome	all	scaffold-N50	58113888
Primary Assembly	08_Pall	Chromosome	all	spanned-gaps	3
Primary Assembly	08_Pall	Chromosome	all	unspanned-gaps	0
Primary Assembly	08_Pall	Chromosome	all	gc-perc	33.5
Primary Assembly	08_Pall	Chromosome	assembled-molecule	total-length	58113888
Primary Assembly	08_Pall	Chromosome	assembled-molecule	ungapped-length	58113588
Primary Assembly	08_Pall	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	08_Pall	Chromosome	assembled-molecule	scaffold-N50	58113888
Primary Assembly	08_Pall	Chromosome	assembled-molecule	spanned-gaps	3
Primary Assembly	08_Pall	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	08_Pall	Chromosome	assembled-molecule	gc-perc	33.5
Primary Assembly	08_Pall	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	08_Pall	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	08_Pall	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	08_Pall	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	08_Pall	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	08_Pall	Chromosome	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	497171
non-nuclear	all	all	all	ungapped-length	497071
non-nuclear	all	all	all	scaffold-count	2
non-nuclear	all	all	all	scaffold-N50	370592
non-nuclear	all	all	all	spanned-gaps	1
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	42
non-nuclear	all	all	assembled-molecule	total-length	497171
non-nuclear	all	all	assembled-molecule	ungapped-length	497071
non-nuclear	all	all	assembled-molecule	scaffold-count	2
non-nuclear	all	all	assembled-molecule	scaffold-N50	370592
non-nuclear	all	all	assembled-molecule	spanned-gaps	1
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	gc-perc	42
non-nuclear	all	all	unlocalized-scaffold	total-length	0
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	0
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	0
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	0
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	370592
non-nuclear	MT	Mitochondrion	all	ungapped-length	370492
non-nuclear	MT	Mitochondrion	all	scaffold-count	1
non-nuclear	MT	Mitochondrion	all	scaffold-N50	370592
non-nuclear	MT	Mitochondrion	all	spanned-gaps	1
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	gc-perc	45
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	370592
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	370492
non-nuclear	MT	Mitochondrion	assembled-molecule	scaffold-count	1
non-nuclear	MT	Mitochondrion	assembled-molecule	scaffold-N50	370592
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	1
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	gc-perc	45
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	scaffold-count	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	scaffold-N50	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	spanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	all	total-length	126579
non-nuclear	Pltd	Chloroplast	all	ungapped-length	126579
non-nuclear	Pltd	Chloroplast	all	scaffold-count	1
non-nuclear	Pltd	Chloroplast	all	scaffold-N50	126579
non-nuclear	Pltd	Chloroplast	all	spanned-gaps	0
non-nuclear	Pltd	Chloroplast	all	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	all	gc-perc	34
non-nuclear	Pltd	Chloroplast	assembled-molecule	total-length	126579
non-nuclear	Pltd	Chloroplast	assembled-molecule	ungapped-length	126579
non-nuclear	Pltd	Chloroplast	assembled-molecule	scaffold-count	1
non-nuclear	Pltd	Chloroplast	assembled-molecule	scaffold-N50	126579
non-nuclear	Pltd	Chloroplast	assembled-molecule	spanned-gaps	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	gc-perc	34
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	total-length	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	ungapped-length	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	scaffold-count	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	scaffold-N50	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	spanned-gaps	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	unspanned-gaps	0
