# Assembly Statistics Report
# Assembly name:  ASM2559414v1
# Organism name:  Primulina tabacum (eudicots)
# Isolate:  GXHZ01
# Taxid:          48773
# BioSample:      SAMN18395929
# BioProject:     PRJNA716147
# Submitter:      South China Botanical Garden, Chinese Academy of Sciences
# Date:           2022-10-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAGSQV01
# Assembly method: FALCON v. 1.0; LACHESIS v. 1.0
# Expected final version: yes
# Genome coverage: 358.0x
# Sequencing technology: Illumina NovaSeq; PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_025594145.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_025594155.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	17	Chromosome	assembled-molecule	ungapped-length	34587132
Primary Assembly	17	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	17	Chromosome	assembled-molecule	scaffold-N50	34591079
Primary Assembly	17	Chromosome	assembled-molecule	spanned-gaps	28
Primary Assembly	17	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	17	Chromosome	assembled-molecule	gc-perc	36.5
Primary Assembly	17	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	18	Chromosome	all	total-length	32773826
Primary Assembly	18	Chromosome	all	ungapped-length	32770796
Primary Assembly	18	Chromosome	all	scaffold-count	1
Primary Assembly	18	Chromosome	all	scaffold-N50	32773826
Primary Assembly	18	Chromosome	all	spanned-gaps	29
Primary Assembly	18	Chromosome	all	unspanned-gaps	0
Primary Assembly	18	Chromosome	all	gc-perc	37
Primary Assembly	18	Chromosome	assembled-molecule	total-length	32773826
Primary Assembly	18	Chromosome	assembled-molecule	ungapped-length	32770796
Primary Assembly	18	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	18	Chromosome	assembled-molecule	scaffold-N50	32773826
Primary Assembly	18	Chromosome	assembled-molecule	spanned-gaps	29
Primary Assembly	18	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	18	Chromosome	assembled-molecule	gc-perc	37
Primary Assembly	18	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	unspanned-gaps	0
